userName,score,at,content
El Aijaz,1,2026-04-30 09:26:12,"unor teruuuuuuus.... giliran mau absen plng eror, pas nyampe rmh bs, diaaableeeg"
Burhan Nudin,5,2026-04-30 00:50:18,Baik sih cuman sering gangian mulu jadi sering ga bisa absen mohon di perbaiki kembali
RAZOR GAMING,1,2026-04-29 09:12:27,aplikasi gjls
Suwarno,5,2026-04-29 01:28:08,good
Dodi Hardiansah,5,2026-04-29 00:55:09,mantap dah
Januar Joker,5,2026-04-28 23:08:55,semoga lancar dan sukses
Njay Jay,5,2026-04-27 03:37:59,Bagus
hari supriatna,5,2026-04-23 02:35:30,top
Hidayat Dayat,2,2026-04-23 02:28:15,sering eror 🤦🏻‍♀️🤦🏻‍♀️
Mukhlis Al Ulum,5,2026-04-23 02:24:52,Kehadiran
Keluarga DDT Channel,5,2026-04-23 02:14:47,memudahkan
Han,4,2026-04-23 01:57:17,bermanfaat buat PW. PP. PNS
M Soleh,5,2026-04-09 04:39:21,👍👍👍
Aris Firmansyah,1,2026-04-09 00:39:35,habis update malah ERROR
Ulfa teh,2,2026-04-09 00:37:51,"TOLONG LARANG penggunaan ""FAKE GPS"" di SIMPEG TERKINI. Kembalikan ke pengaturan SIMPEG sebelumnya yang tidak bisa menggunakan FAKE GPS !!! Akhirnya banyak yang menyalahgunakan aplikasinya. Orangnya tidak ada di kantor tapi dapat melakukan ABSEN/PRESENSI MOHON KEPADA DEVELOPER FIX BUG ini thankyou"
Agust Adi Pradana,1,2026-03-31 08:06:36,NIP TIDAK DITEMUKAN 🤦‍♂️🤦‍♂️🤦‍♂️
Qilarahma Channel,1,2026-03-25 23:54:53,"Mohon maaf Aplikasi nya logout sndiri.. udah beberapa minggu lalu, mau masuk/login tdk bisa2. sdh cb d update aplikasi versi 4.0 terbaru, ttp aja gabisa masuk/login, keterangan ""NIP tdk ditemukan"" gto melulu, wlwlpn d reset device jg sama aja gabisa masuk/login. Aplikasinya Kendor, Kedodoran, Kondor. Mohon Solusinya... Mohon Solusinya... Mohon Solusinya..."
Hafid Hafid,1,2026-03-24 10:03:00,eror terus mungkin adminya kurang pro dan kurang honor juga
Aries Suseno JB Smart,5,2026-03-18 08:05:48,Perangkat Absen lebih akurat
Ki Atma,5,2026-03-18 04:55:22,ok
Uchin Is Me,2,2026-03-18 01:30:08,"Mohon solusi nya min, saya tidak bisa login dengan keterangan NIP tidak ditemukan. Mau reset juga sama seperti itu keterangan nya. sedangan rekan rekan saya bisa. Bagaimana saya penyelesain nya ya min. Hatur nuhun"
Auni Far,5,2026-03-18 00:22:00,keren
Agus Ependi,5,2026-03-17 18:55:31,sangat membantu
Ridwan Kemal,5,2026-03-11 03:25:31,Ketika maintaince sistem dan tidak bisa absen. Wajib semua di absen hadir tanpa terkecuali sbb kesalahan bukan di pegawai tapi di sistem. salam hormat
Syarif Hidayatullah.,4,2026-02-13 08:09:52,"Aplikasinya sudah bagus... Cuma aplikasi ini tidak berlaku bagi kami yang berkerja dengan sistem Shift seperti : Perawat, Medis, Petugas Damkar, Petugas Plang pintu Kereta, Operator dll seharusnya Pemkot dan BKPSDM cari Solusi untuk pekerja Shift seperti kami Sangat tidak Mungkin pekerja Shift di Lapangan diterapkan aturan Standar Kantor, karena Sabtu, Minggu bahkan Hari Raya-pun kami Masuk Kerja"
Rizal Arifin,2,2026-01-15 00:10:26,aplikasi error. gk bisa absen. alasan tidak ada internet. tolong perbaiki
OGOW BX,1,2026-01-14 23:59:43,dateng pagi tapi ga bisa absen
Arif Fathurohman,1,2026-01-07 12:20:54,ga bisa dibuka eror
Dilla TriManis,2,2026-01-06 09:14:55,"hy min, knp di hp oppo reno5F saya aplikasi tidak bisa digunakan (dibuka).?????? 🙏🙏🙏"
syafatul farikhah,5,2025-07-31 00:39:37,penyemangat
adi ridhwan,1,2025-06-13 00:21:49,sering error
Asnayati Asnayati,1,2025-05-10 08:05:25,"mohon maaf disini ada yang bermasalah dan tidak bisa login karna tulisannya ""akun belum dilogout dari device lain"" padahal akunnya tidak pernah login di device lain? mohon infonya rekan rekan atau barangkali yang mendevelop aplikasinya membaca, bagaimana cara memecahkan masalahnya, terima kasih."
Muji Ati,5,2025-05-02 00:30:54,Susah untuk absensi.
Dian Mardianati,4,2025-05-02 00:01:29,susah masuk aplikasi nyaa...huhuu
Ahmad Ilyas,1,2025-04-28 00:14:00,susah log in ampun deh
fitri wahyudin,4,2025-04-26 04:43:33,aplikasinya masih suka eror.. Tingkatkan lagi dlm pelayanannya.
Ugenk Riyadi,1,2025-04-25 23:14:07,Lebih banyak erornya daripada benernya. dgn tuntutan harus absen tepat waktu dan berpacu dgn aplikasi eroran. menguras emosi positif sekali 🤯🤯
retnoariessandi Ariessandi,5,2025-04-04 03:01:14,Sangat Membantu dan profesional
Mudrik,5,2025-03-06 05:19:15,Mantap
Moh Sahudi,5,2025-02-18 12:29:43,ASN kota serang semakin terdepan
Novi yana,1,2025-02-18 07:15:47,Gk bs dibuka knp ni........... Blank.. Payahnya
derni pakpahan,4,2025-02-11 08:55:39,"Saya sudah pensiun ttm 1 Oktober 2024 tp simpeg masih tampil di HP,ada senang ada sedih..... Saya tidak mengerti harus bagaimana menyikapinya , lapor ke siapa, ke mana?"
badrudin badrudin,5,2025-02-02 12:37:44,Ok
dadan suwinda,5,2025-01-24 02:00:26,MANTAP
Ikka _adiva,4,2025-01-23 08:40:07,Udah 3 hari ini ga bisa absen di hp ataupun absen manual.kenapa???
Rachmawati Jubaedi,1,2025-01-23 01:49:22,Aplikasinya error terus padahal di update
Chairul Waladi,4,2025-01-22 00:42:51,Susah di updatenya
Mukadamu Sag,5,2024-05-23 01:17:26,Baik
tifa muhayah,1,2024-03-11 05:05:33,Aplikasinya masiiiiih jauuuuh dari sempurna...erooor... klo apa2 berdasarkan absen wah payah.... alias sering eror... nanti banyak d rugikan....
Ratu Qoriah,5,2024-03-10 05:03:47,Sangat baik dan merubah kepribadian agar lebih disiplin waktu.
Thohuri NUHDHT,5,2024-01-18 17:12:07,Dua jual
Asih Kurnia,5,2023-12-14 00:11:24,Aplikasi ini sudah baik
Nining Meinisa _Guru kelas PG,1,2023-12-07 00:50:23,"Dari November akhir ini, Kota Serang hampir setiap pagi diguyur hujan. Bukan hanya jarak dari rumah dan tempat kerja yang jauh, juga situasi dan kondisi yang harus memaksakan dari rumah sampai tempat kerja memakai jas hujan, dan mengendarai motor dengan hati-hati. Tetapi diperjalanan juga harus berpacu dengan waktu dan absensi Simpeg. Sudah datang disekolah jam 07.00 pagi, tapi tetap tidak bisa absen karena jaringan, atau memang aplikasinya yang buruk setelah di upgrade. Jam 08.00 baru bisa absn"
Furqon Suseno,3,2023-11-20 03:02:54,Suka eror kenapa ya min
Yayah Muhayah,5,2023-11-13 01:35:44,Simpeng ini oenting
Ade Heru Setiawan,1,2023-11-13 00:25:09,"Kendor,... susah masuk setelah upgrade,.. ini proyek perubahan nya siapa gitu kaka,...... ko coba - coba,."
Duo Latah Channel,1,2023-11-13 00:22:01,Payah geh lurrr mengkenen bae meh
suwarni warni,4,2023-11-13 00:21:03,"tdk bisa di buka , gmn nih tdk bs absen"
Syarif Udin,5,2023-11-13 00:19:19,Siiip
Sumarni,5,2023-11-13 00:12:46,Lebih tepat waktu jam masuk dan pulang.
chaerul ismathullah,3,2023-11-13 00:10:36,"Setelah di update, aplikasi tidak bisa digunakan untuk absen.."
marlina nur ramadhan,5,2023-11-13 00:10:03,Ok
Nur Fatonah,5,2023-11-13 00:09:55,Bagus membantu presensi pegawai.
Iim rohimah Hasan,1,2023-11-13 00:09:46,loading nya lama banget....
Amar Amarasan,5,2023-11-13 00:07:08,Selvernya diperkuat agar tidak terjadi error
Siti Halimah,2,2023-11-13 00:02:44,Belum bisa dibuka absennya.... walaupun sudah di update 🙏🏼🙏🏼
Abinya Zia,5,2023-11-12 23:58:23,Ok
Ipah Apipah,3,2023-11-12 23:48:43,Kadang muter muter
IRWAN SOFWAN,5,2023-11-12 23:47:47,👍
Oppo A3s,1,2023-11-12 23:41:44,Tidak nyambung
martini martini,5,2023-11-12 23:39:47,Sangat setuju untuk kedisplinan pegawai kota Serang
Mila Nurlaila_Bahasa Indonesia,5,2023-11-12 23:32:54,Bagus
Naima Martin,1,2023-11-12 23:31:56,"aplikasinya minta update, udah di update malah gak bisa dipake. kocak. admin ditanya ngangong gak ngerti. apus aja sistem onlinenya. manual aja."
Mahmudah 13,4,2023-11-12 23:25:49,Semoga kedepanya simpeg tidak gangguan lagi
Lusi Hariswati,1,2023-10-27 07:16:20,"Aplikasinya kendor melorot, payah, ga bisa di andalkan,udah update, suruh update lagi setiap absen masuk dan keluar..payah..payah..."
Dea Sulistia,3,2023-10-27 07:14:36,Masih sering loading di saat jam masuk dan pulang
Derry Ariwibowo,5,2023-10-19 01:54:54,Mantap
Nanik Purwaningsih75,5,2023-10-06 22:00:21,Ketika adzan subuh berkumandang Dikota serang.
tiyas sulistiyaningsih,2,2023-10-06 07:38:02,Bilangnya lolipop bisa tp boro boro bisa.
Kia Khoer,5,2023-10-03 06:28:56,Gooooodddd
Sadewa Channel,5,2023-09-18 02:51:14,Belum bis singkron
munajat uje_bae,4,2023-09-11 13:15:50,"Masih loading lama saat absen masuk dan pulang padahal jaringan bagus, Muncul pembaharuan padahal sudah versi baru sehingga tidak bisa login untuk absen. Keterangan time out saat absen masuk, kadang pulang juga. Semoga bermanfaat masukannya"
kang asrof,1,2023-09-03 01:17:52,Di hp prrangkat android 6.0 tidak berfungsi padahal syarat nya lolipip
